Id,xx,Price,Age_08_04,Mfg_Month,Mfg_Year,KM,Fuel_Type,Diesel,Petrol,HP,Met_Color,Color,Automatic,cc,Doors,Cylinders,Gears,Quarterly_Tax,Weight,Mfr_Guarantee,BOVAG_Guarantee,Guarantee_Period,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Radio_cassette,Tow_Bar
1,TOYOTACorolla2.0D4DHATCHBTERRA2/3-Doors,13500,23,10,2002,46986,Diesel,1,1,90,1,Blue,0,2000,3,4,5,210,1165,0,1,3,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0
2,TOYOTACorolla2.0D4DHATCHBTERRA2/3-Doors,13750,23,10,2002,72937,Diesel,1,1,90,1,Silver,0,2000,3,4,5,210,1165,0,1,3,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0
3, TOYOTACorolla2.0D4DHATCHBTERRA2/3-Doors,13950,24,9,2002,41711,Diesel,1,1,90,1,Blue,0,2000,3,4,5,210,1165,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
4,TOYOTACorolla2.0D4DHATCHBTERRA2/3-Doors,14950,26,7,2002,48000,Diesel,1,1,90,0,Black,0,2000,3,4,5,210,1165,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
5,TOYOTACorolla2.0D4DHATCHBSOL2/3-Doors,13750,30,3,2002,38500,Diesel,1,1,90,0,Black,0,2000,3,4,5,210,1170,1,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0
6,TOYOTACorolla2.0D4DHATCHBSOL2/3-Doors,12950,32,1,2002,61000,Diesel,1,1,90,0,White,0,2000,3,4,5,210,1170,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0
7, TOYOTACorolla2.0D4D903DRTERRA2/3-Doors,16900,27,6,2002,94612,Diesel,1,1,90,1,Grey,0,2000,3,4,5,210,1245,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
8,TOYOTACorolla2.0D4D903DRTERRA2/3-Doors,18600,30,3,2002,75889,Diesel,1,1,90,1,Grey,0,2000,3,4,5,210,1245,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0
9, TOYOTACorolla1800TSPORTVVTI2/3-Doors,21500,27,6,2002,19700,Petrol,0,1,192,0,Red,0,1800,3,4,5,100,1185,0,1,3,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0
10, TOYOTACorolla1.9DHATCHBTERRA2/3-Doors,12950,23,10,2002,71138,Diesel,1,0,69,0,Blue,0,1900,3,4,5,185,1105,0,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
11,TOYOTACorolla1.8VVTL-iT-Sport3-Drs2/3-Doors,20950,25,8,2002,31461,Petrol,0,1,192,0,Silver,0,1800,3,4,6,100,1185,1,1,12,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0
12,TOYOTACorolla1.816VVVTLI3DRTSPORTBNS2/3-Doors,19950,22,11,2002,43610,Petrol,0,0,192,0,Red,0,1800,3,4,6,100,1185,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0
13,TOYOTACorolla1.816VVVTLI3DRTSPORT2/3-Doors,19600,25,8,2002,32189,Petrol,0,0,192,0,Red,0,1800,3,4,6,100,1185,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0
14,TOYOTACorolla1.816VVVTLI3DRTSPORT2/3-Doors,21500,31,2,2002,23000,Petrol,0,0,192,1,Black,0,1800,3,4,6,100,1185,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
15,TOYOTACorolla1.816VVVTLI3DRTSPORT2/3-Doors,22500,32,1,2002,34131,Petrol,0,0,192,1,Grey,0,1800,3,4,6,100,1185,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
16,TOYOTACorolla1.816VVVTLI3DRTSPORT2/3-Doors,22000,28,5,2002,18739,Petrol,0,0,192,0,Grey,0,1800,3,4,6,100,1185,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0
17, TOYOTACorolla1.816VVVTLI3DRTSPORT2/3-Doors,22750,30,3,2002,34000,Petrol,0,0,192,1,Grey,0,1800,3,4,5,100,1185,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0
18, TOYOTACorolla1.6VVTILineaTerraComfort2/3-Doors,17950,24,9,2002,21716,Petrol,0,0,110,1,Blue,0,1600,3,4,5,85,1105,0,0,18,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
19,TOYOTACorolla1.616vL.SOL2/3-Doors,16750,24,9,2002,25563,Petrol,0,0,110,0,Grey,0,1600,3,4,5,19,1065,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
20,TOYOTACorolla1.616VVVTI3DRTERRA2/3-Doors,16950,30,3,2002,64359,Petrol,0,0,110,1,Grey,0,1600,3,4,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
21, TOYOTACorolla1.616VVVTI3DRTERRA2/3-Doors,15950,30,3,2002,67660,Petrol,0,0,110,1,Blue,0,1600,3,4,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
22,TOYOTACorolla1.616VVVTI3DRSOLAUT42/3-Doors,16950,29,4,2002,43905,Petrol,0,0,110,0,Grey,1,1600,3,4,5,100,1170,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
23,TOYOTACorolla1.616VVVTI3DRSOL2/3-Doors,15950,28,5,2002,56349,Petrol,0,0,110,1,Black,0,1600,3,4,5,85,1120,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
24, TOYOTACorolla1.616VVVTI3DRSOL2/3-Doors,16950,28,5,2002,32220,Petrol,0,0,110,1,Black,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
25,TOYOTACorolla1.616VVVTI3DRSOL2/3-Doors,16250,29,4,2002,25813,Petrol,0,0,110,1,Grey,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
26,TOYOTACorolla1.616VVVTI3DRSOL2/3-Doors,15950,25,8,2002,28450,Petrol,0,0,110,1,Blue,0,1600,3,4,5,85,1120,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
27, TOYOTACorolla1.616VVVTI3DRSOL2/3-Doors,17495,27,6,2002,34545,Petrol,0,0,110,1,Blue,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0
28,TOYOTACorolla1.616VVVTI3DRSOL2/3-Doors,15750,29,4,2002,41415,Petrol,0,0,110,1,Black,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
29,TOYOTACorolla1.616VVVTI3DRSOL2/3-Doors,16950,28,5,2002,44142,Petrol,0,0,110,0,Grey,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
30,TOYOTACorolla1.616VVVTI3DRSOL2/3-Doors,17950,30,3,2002,11090,Petrol,0,0,110,1,Blue,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
31, TOYOTACorolla1.4VVTILineaTerra2/3-Doors,12950,29,4,2002,9750,Petrol,0,0,97,1,Silver,0,1400,3,4,5,19,1100,1,1,12,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
32,TOYOTACorolla1.416VVVTI3DRTERRACOMFORT2/3-Doors,15750,22,11,2002,35199,Petrol,0,0,97,1,Blue,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1
33,TOYOTACorolla1.416VVVTI3DRTERRACOMFORT2/3-Doors,15950,27,6,2002,29510,Petrol,0,0,97,1,Black,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
34, TOYOTACorolla1.416VVVTI3DRTERRACOMFORT2/3-Doors,14950,26,7,2002,32692,Petrol,0,0,97,1,Grey,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
35, TOYOTACorolla1.416VVVTI3DRTERRACOMFORT2/3-Doors,15500,22,11,2002,41000,Petrol,0,0,97,1,Grey,0,1400,3,4,5,85,1100,0,0,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
36,TOYOTACorolla1.416VVVTI3DRTERRACOMFORT2/3-Doors,15750,26,7,2002,43000,Petrol,0,0,97,0,Grey,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
