Oxygen RunTime RunPulse
44.609 11.37 178 
45.313 10.07 185
54.297  8.65 156 
59.571  NA    NA
49.874  9.22  NA  
44.811 11.63 176
45.681 11.95 176 
49.091 10.85  NA
39.442 13.08 174 
60.055  8.63 170
50.541   NA   NA  
37.388 14.03 186
44.754 11.12 176 
47.273 NA     NA
51.855 10.33 166 
49.156  8.95 180
40.836 10.95 168 
46.672 10.00  NA
46.774 10.25  NA 
50.388 10.08 168
39.407 12.63 174 
46.080 11.17 156
45.441  9.63 164 
54.625  8.92 146
45.118 11.08  NA  
39.203 12.88 168
45.790 10.47 186 
50.545  9.93 148
48.673 9.40  186 
47.920 11.50 170
47.467 10.50 170
